0.1,0.0039288
0.2,0.0077491
0.3,0.011293
0.4,0.014799
0.5,0.018337
0.6,0.022127
0.7,0.024675
0.8,0.027427
0.9,0.031704
1,0.033255
1.1,0.034589
1.2,0.038092
1.3,0.040166
1.4,0.042123
1.5,0.044507
1.6,0.046629
1.7,0.053727
1.8,0.050975
1.9,0.050026
2,0.054303
2.1,0.060863
2.2,0.058168
2.3,0.066586
2.4,0.059382
2.5,0.075045
2.6,0.067146
2.7,0.074244
2.8,0.069416
2.9,0.074272
3,0.076507
3.1,0.084932
3.2,0.079457
3.3,0.072944
3.4,0.07678
3.5,0.08394
3.6,0.085134
3.7,0.081215
3.8,0.081203
3.9,0.081824
4,0.091206
4.1,0.10518
4.2,0.08257
4.3,0.0929
4.4,0.086507
4.5,0.085992
4.6,0.090784
4.7,0.10278
4.8,0.10406
4.9,0.093603
5,0.095183
5.1,0.11152
5.2,0.11402
5.3,0.11815
5.4,0.13623
5.5,0.11202
5.6,0.13003
5.7,0.099939
5.8,0.11186
5.9,0.11072
6,0.13067
6.1,0.099396
6.2,0.097378
6.3,0.097586
6.4,0.12562
6.5,0.12199
6.6,0.1052
6.7,0.11755
6.8,0.10657
6.9,0.1094
7,0.13102
7.1,0.1062
7.2,0.11643
7.3,0.12885
7.4,0.111
7.5,0.13507
7.6,0.1187
7.7,0.13156
7.8,0.11182
7.9,0.11748
8,0.14268
8.1,0.14233
8.2,0.11463
8.3,0.095892
8.4,0.12275
8.5,0.11313
8.6,0.10206
8.7,0.13381
8.8,0.12756
8.9,0.13101
9,0.11887
9.1,0.10451
9.2,0.121
9.3,0.13753
9.4,0.13457
9.5,0.11976
9.6,0.11861
9.7,0.13787
9.8,0.14086
9.9,0.14255
10,0.13074
10.1,0.12638
10.2,0.11218
10.3,0.13715
10.4,0.1381
10.5,0.111
10.6,0.15997
10.7,0.13812
10.8,0.16548
10.9,0.14818
11,0.16462
11.1,0.12568
11.2,0.16953
11.3,0.14521
11.4,0.15747
11.5,0.16173
11.6,0.11397
11.7,0.16523
11.8,0.14524
11.9,0.15046
12,0.13279
12.1,0.16523
12.2,0.1471
12.3,0.11911
